,pttID,HighSchool_PR,College_Score,HS_Inacc,CS_Inacc,HS_Invalid,CS_Invalid
159,boonboon2237,90,54,0,0,0,0
160,appollo860218,97,52,0,0,0,0
161,duygy952671,92,63,0,0,0,0
162,jeff20085501,94,70,0,0,0,0
163,holic0824,83,59,0,0,0,0
164,kevin0209,86,54,0,0,0,0
165,thekfc24,99,66,0,0,0,0
166,emily8911h,94,69,0,0,0,0
167,abbasxu,81,67,0,0,0,0
168,Aligator,97,66,0,0,0,0
169,japan1995,63,49,0,0,0,0
170,yummy8765,99,72,0,0,0,0
171,lanlanlu6665,83,54,0,0,0,0
172,jane060921,72,60,0,0,0,0
173,abc456wp,80,42,0,0,0,0
174,gary81611,89,63,0,0,0,0
175,Tuvalu,99,67,0,0,0,0
176,bluetory99,88,62,0,0,0,0
177,a298529,97,72,0,0,0,0
178,shark2013,97,70,0,0,0,0
179,smokenmirror,93,56,0,0,0,0
180,RosenS,98,54,0,0,0,0
181,oxlittle,97,71,0,0,0,0
182,elucidator,87,52,0,0,0,0
183,kids9995,-1,73,0,0,1,0
184,wyred,51,48,0,0,0,0
185,richard26057,96,62,0,0,0,0
186,hatehess,89,72,0,0,0,0
187,andy12w12w,93,55,0,0,0,0
188,greg0740,81,61,0,0,0,0
189,zz860619,97,68,0,0,0,0
190,pep9575351,83,58,0,0,0,0
191,zxnstu983104,84,69,0,0,0,0
192,ptt0211,94,66,0,0,0,0
193,technicolor,98,61,0,0,0,0
194,yang860406,74,58,0,0,0,0
195,tommy71213,99,-1,0,0,0,1
196,GJ94JEN,70,75,0,0,0,0
197,zxnstu3104,70,74,0,0,0,0
